state_of_location,date,power_generated,overall_safety_score
Arkansas Nuclear 1,2007-01-01,642145,-0.034647666058249316
Arkansas Nuclear 1,2007-02-01,579996,-0.0329993236724733
Arkansas Nuclear 1,2007-03-01,631611,-0.03794435082980134
Arkansas Nuclear 1,2007-04-01,425625,-0.14874512149141383
Arkansas Nuclear 1,2007-05-01,233279,-0.15175728794895887
Arkansas Nuclear 1,2007-06-01,610804,-0.14681226079163084
Arkansas Nuclear 1,2007-07-01,629284,-0.11535778539197596
Arkansas Nuclear 1,2007-08-01,623738,-0.11381933249858502
Arkansas Nuclear 1,2007-09-01,610379,-0.11228087960519408
Arkansas Nuclear 1,2007-10-01,634652,-0.016026116305423145
Arkansas Nuclear 1,2007-11-01,620327,-0.02064147498559598
Arkansas Nuclear 1,2007-12-01,640967,-0.026795286559159755
Arkansas Nuclear 1,2008-01-01,640210,0.07101633172180793
Arkansas Nuclear 1,2008-02-01,332640,0.05319134823460882
Arkansas Nuclear 1,2008-03-01,639812,0.07563169040198077
Arkansas Nuclear 1,2008-04-01,611739,0.12116979135917766
Arkansas Nuclear 1,2008-05-01,611473,0.1266871516992492
Arkansas Nuclear 1,2008-06-01,610763,0.12976405748603112
Arkansas Nuclear 1,2008-07-01,626182,0.04317072732944758
Arkansas Nuclear 1,2008-08-01,625966,0.04163227443605664
Arkansas Nuclear 1,2008-09-01,612739,0.04163227443605664
Arkansas Nuclear 1,2008-10-01,514485,-0.0752894966874829
Arkansas Nuclear 1,2008-11-01,-3267,-0.07659536543209605
Arkansas Nuclear 1,2008-12-01,290481,-0.049241147880516034
Arkansas Nuclear 1,2009-01-01,640046,-0.21223310171537546
Arkansas Nuclear 1,2009-02-01,423433,-0.20146393146163885
Arkansas Nuclear 1,2009-03-01,627953,-0.19531011988807506
Arkansas Nuclear 1,2009-04-01,602624,-0.21719369366322058
Arkansas Nuclear 1,2009-05-01,637687,-0.21565524076982964
Arkansas Nuclear 1,2009-06-01,607732,-0.22334750523678437
Arkansas Nuclear 1,2009-07-01,626572,-0.38787622959148393
Arkansas Nuclear 1,2009-08-01,627476,-0.3663378890840107
Arkansas Nuclear 1,2009-09-01,611643,-0.36326098329722883
Arkansas Nuclear 1,2009-10-01,637117,-0.2763470338557671
Arkansas Nuclear 1,2009-11-01,619993,-0.24865488177473008
Arkansas Nuclear 1,2009-12-01,639821,-0.26865476938881233
Arkansas Nuclear 2,2007-01-01,595300,-0.24192601194725313
Arkansas Nuclear 2,2007-02-01,644844,-0.24192601194725313
Arkansas Nuclear 2,2007-03-01,749928,-0.24192601194725313
Arkansas Nuclear 2,2007-04-01,716988,-0.10909582982811557
Arkansas Nuclear 2,2007-05-01,746214,-0.10909582982811557
Arkansas Nuclear 2,2007-06-01,720064,-0.10909582982811557
Arkansas Nuclear 2,2007-07-01,742975,-0.11014835066379512
Arkansas Nuclear 2,2007-08-01,739436,-0.11014835066379512
Arkansas Nuclear 2,2007-09-01,717678,-0.11014835066379512
Arkansas Nuclear 2,2007-10-01,748446,-0.019507116010440015
Arkansas Nuclear 2,2007-11-01,728510,-0.019507116010440015
Arkansas Nuclear 2,2007-12-01,752912,-0.019507116010440015
Arkansas Nuclear 2,2008-01-01,752554,0.13279064460256038
Arkansas Nuclear 2,2008-02-01,617922,0.13279064460256038
Arkansas Nuclear 2,2008-03-01,368942,0.13279064460256038
Arkansas Nuclear 2,2008-04-01,441150,0.22719197880027758
Arkansas Nuclear 2,2008-05-01,747647,0.22719197880027758
Arkansas Nuclear 2,2008-06-01,719892,0.22719197880027758
Arkansas Nuclear 2,2008-07-01,708464,0.028241720521570497
Arkansas Nuclear 2,2008-08-01,743225,0.028241720521570497
Arkansas Nuclear 2,2008-09-01,722492,0.028241720521570497
Arkansas Nuclear 2,2008-10-01,750125,0.08410418977280719
Arkansas Nuclear 2,2008-11-01,729206,0.08410418977280719
Arkansas Nuclear 2,2008-12-01,753249,0.07704837653934468
Arkansas Nuclear 2,2009-01-01,659922,-0.14337324325125472
Arkansas Nuclear 2,2009-02-01,637933,-0.08692673738355466
Arkansas Nuclear 2,2009-03-01,635241,-0.18172921520534913
Arkansas Nuclear 2,2009-04-01,725073,-0.0750730808118188
Arkansas Nuclear 2,2009-05-01,746971,-0.09072316017213475
Arkansas Nuclear 2,2009-06-01,716538,-0.11189059987252228
Arkansas Nuclear 2,2009-07-01,741173,-0.2322265359952406
Arkansas Nuclear 2,2009-08-01,739567,-0.2533939756956281
Arkansas Nuclear 2,2009-09-01,110710,-0.16261469116251953
Arkansas Nuclear 2,2009-10-01,749238,-0.19713771629215093
Arkansas Nuclear 2,2009-11-01,728061,-0.19559926339876
Arkansas Nuclear 2,2009-12-01,677442,-0.19559926339876
Beaver Valley 1,2007-01-01,645562,0.006405305918953652
Beaver Valley 1,2007-02-01,574535,0.006405305918953652
Beaver Valley 1,2007-03-01,633131,-0.006781433167254447
Beaver Valley 1,2007-04-01,658628,0.07760711093077144
Beaver Valley 1,2007-05-01,669428,0.07925545331654744
