date,n,correlation,direction
2007-01-01,88,0.150298897143026,positive
2007-02-01,88,0.15539958635476614,positive
2007-03-01,88,0.11144169388341914,positive
2007-04-01,87,0.2265219904173099,positive
2007-05-01,87,0.29711508757020105,positive
2007-06-01,87,0.30751093259394097,positive
2007-07-01,87,0.3233040138938634,positive
2007-08-01,88,0.35959358816554704,positive
2007-09-01,87,0.3153428516554101,positive
2007-10-01,87,-0.08515052678046688,negative
2007-11-01,87,0.09585738898797734,positive
2007-12-01,87,0.19091552141010235,positive
2008-01-01,87,0.3146926638558133,positive
2008-02-01,87,0.29411324937023575,positive
2008-03-01,87,0.06650092677534936,positive
2008-04-01,87,0.026144915180477207,positive
2008-05-01,87,-0.15511733126514315,negative
2008-06-01,87,-0.033066693954425325,negative
2008-07-01,87,0.08486606762164518,positive
2008-08-01,86,0.09639038511265476,positive
2008-09-01,87,0.1358014745429639,positive
2008-10-01,87,-0.07682960651625358,negative
2008-11-01,87,0.03922515989281389,positive
2008-12-01,87,0.11142749082185169,positive
2009-01-01,87,0.098889217398474,positive
2009-02-01,87,0.20484150185633204,positive
2009-03-01,87,0.23616879135785243,positive
2009-04-01,87,0.2875794410798122,positive
2009-05-01,87,0.27504724442731066,positive
2009-06-01,87,0.2365334046674752,positive
2009-07-01,87,0.06742561015533877,positive
2009-08-01,87,0.14002011984988255,positive
2009-09-01,87,0.128101412848792,positive
2009-10-01,85,0.10139542828695758,positive
2009-11-01,85,-0.03261392525165436,negative
2009-12-01,85,-0.019536015854091905,negative
