state_of_location,net_capacity,date,power_generated
Arkansas Nuclear 1,843,2007-01-01,642145
Arkansas Nuclear 1,843,2007-02-01,579996
Arkansas Nuclear 1,843,2007-03-01,631611
Arkansas Nuclear 1,843,2007-04-01,425625
Arkansas Nuclear 1,843,2007-05-01,233279
Arkansas Nuclear 1,843,2007-06-01,610804
Arkansas Nuclear 1,843,2007-07-01,629284
Arkansas Nuclear 1,843,2007-08-01,623738
Arkansas Nuclear 1,843,2007-09-01,610379
Arkansas Nuclear 1,843,2007-10-01,634652
Arkansas Nuclear 1,843,2007-11-01,620327
Arkansas Nuclear 1,843,2007-12-01,640967
Arkansas Nuclear 1,843,NA,6882807
Arkansas Nuclear 1,842,2008-01-01,640210
Arkansas Nuclear 1,842,2008-02-01,332640
Arkansas Nuclear 1,842,2008-03-01,639812
Arkansas Nuclear 1,842,2008-04-01,611739
Arkansas Nuclear 1,842,2008-05-01,611473
Arkansas Nuclear 1,842,2008-06-01,610763
Arkansas Nuclear 1,842,2008-07-01,626182
Arkansas Nuclear 1,842,2008-08-01,625966
Arkansas Nuclear 1,842,2008-09-01,612739
Arkansas Nuclear 1,842,2008-10-01,514485
Arkansas Nuclear 1,842,2008-11-01,-3267
Arkansas Nuclear 1,842,2008-12-01,290481
Arkansas Nuclear 1,842,NA,6113223
Arkansas Nuclear 1,842,2009-01-01,640046
Arkansas Nuclear 1,842,2009-02-01,423433
Arkansas Nuclear 1,842,2009-03-01,627953
Arkansas Nuclear 1,842,2009-04-01,602624
Arkansas Nuclear 1,842,2009-05-01,637687
Arkansas Nuclear 1,842,2009-06-01,607732
Arkansas Nuclear 1,842,2009-07-01,626572
Arkansas Nuclear 1,842,2009-08-01,627476
Arkansas Nuclear 1,842,2009-09-01,611643
Arkansas Nuclear 1,842,2009-10-01,637117
Arkansas Nuclear 1,842,2009-11-01,619993
Arkansas Nuclear 1,842,2009-12-01,639821
Arkansas Nuclear 1,842,NA,7302097
Arkansas Nuclear 2,995,2007-01-01,595300
Arkansas Nuclear 2,995,2007-02-01,644844
Arkansas Nuclear 2,995,2007-03-01,749928
Arkansas Nuclear 2,995,2007-04-01,716988
Arkansas Nuclear 2,995,2007-05-01,746214
Arkansas Nuclear 2,995,2007-06-01,720064
Arkansas Nuclear 2,995,2007-07-01,742975
Arkansas Nuclear 2,995,2007-08-01,739436
Arkansas Nuclear 2,995,2007-09-01,717678
Arkansas Nuclear 2,995,2007-10-01,748446
Arkansas Nuclear 2,995,2007-11-01,728510
Arkansas Nuclear 2,995,2007-12-01,752912
Arkansas Nuclear 2,995,NA,8603295
Arkansas Nuclear 2,997,2008-01-01,752554
Arkansas Nuclear 2,997,2008-02-01,617922
Arkansas Nuclear 2,997,2008-03-01,368942
Arkansas Nuclear 2,997,2008-04-01,441150
Arkansas Nuclear 2,997,2008-05-01,747647
Arkansas Nuclear 2,997,2008-06-01,719892
Arkansas Nuclear 2,997,2008-07-01,708464
Arkansas Nuclear 2,997,2008-08-01,743225
Arkansas Nuclear 2,997,2008-09-01,722492
Arkansas Nuclear 2,997,2008-10-01,750125
Arkansas Nuclear 2,997,2008-11-01,729206
Arkansas Nuclear 2,997,2008-12-01,753249
Arkansas Nuclear 2,997,NA,8054868
Arkansas Nuclear 2,993,2009-01-01,659922
Arkansas Nuclear 2,993,2009-02-01,637933
Arkansas Nuclear 2,993,2009-03-01,635241
Arkansas Nuclear 2,993,2009-04-01,725073
Arkansas Nuclear 2,993,2009-05-01,746971
Arkansas Nuclear 2,993,2009-06-01,716538
Arkansas Nuclear 2,993,2009-07-01,741173
Arkansas Nuclear 2,993,2009-08-01,739567
Arkansas Nuclear 2,993,2009-09-01,110710
Arkansas Nuclear 2,993,2009-10-01,749238
Arkansas Nuclear 2,993,2009-11-01,728061
Arkansas Nuclear 2,993,2009-12-01,677442
Arkansas Nuclear 2,993,NA,7867869
Beaver Valley 1,892,2007-01-01,645562
Beaver Valley 1,892,2007-02-01,574535
Beaver Valley 1,892,2007-03-01,633131
Beaver Valley 1,892,2007-04-01,658628
Beaver Valley 1,892,2007-05-01,669428
Beaver Valley 1,892,2007-06-01,612708
Beaver Valley 1,892,2007-07-01,669518
Beaver Valley 1,892,2007-08-01,664333
Beaver Valley 1,892,2007-09-01,466173
Beaver Valley 1,892,2007-10-01,122788
Beaver Valley 1,892,2007-11-01,657835
Beaver Valley 1,892,2007-12-01,683023
Beaver Valley 1,892,NA,7057662
Beaver Valley 1,892,2008-01-01,682171
Beaver Valley 1,892,2008-02-01,606063
Beaver Valley 1,892,2008-03-01,667047
Beaver Valley 1,892,2008-04-01,655921
Beaver Valley 1,892,2008-05-01,677204
Beaver Valley 1,892,2008-06-01,647844
Beaver Valley 1,892,2008-07-01,666932
Beaver Valley 1,892,2008-08-01,671201
Beaver Valley 1,892,2008-09-01,650941
Beaver Valley 1,892,2008-10-01,679029
Beaver Valley 1,892,2008-11-01,658685
Beaver Valley 1,892,2008-12-01,681900
Beaver Valley 1,892,NA,7944938
Beaver Valley 1,892,2009-01-01,682850
Beaver Valley 1,892,2009-02-01,615784
Beaver Valley 1,892,2009-03-01,679973
Beaver Valley 1,892,2009-04-01,387088
Beaver Valley 1,892,2009-05-01,193442
Beaver Valley 1,892,2009-06-01,651093
