reactor_name,date,unplanned_scrams_per_7000_critical_hours,unplanned_power_changes_per_7000_critical_hrs,unplanned_scrams_with_complications,safety_system_functional_failures_pwr,occupational_exposure_control_effectiveness,rets_odcm_radiological_effluent,mitigating_systems_performance_index,emergency_ac_power_system,mitigating_systems_performance_index_high_pressure_injection_system,mitigating_systems_performance_index_heat_removal_system,mitigating_systems_performance_index_residual_heat_removal_system,mitigating_systems_performance_index_cooling_water_systems,reactor_coolant_system_activity,reactor_coolant_system_leakage,drill_exercise_performance,ero_drill_participation,alert_notification_system,source,mitigating_systems_performance_index_emergency_ac_power_system
Arkansas Nuclear 1,2007-07-01,0,1.7,0.0,0,0,0,NA,-1.99E-08,3.90E-09,1.31E-07,-1.26E-07,1.60E-09,0,1.2,98.6%,100.0%,99.8%,21,NA
Arkansas Nuclear 1,2007-08-01,0,1.7,0.0,0,0,0,NA,-1.99E-08,3.90E-09,1.31E-07,-1.26E-07,1.60E-09,0,1.1,98.6%,100.0%,99.8%,21,NA
Arkansas Nuclear 1,2007-09-01,0,1.7,0.0,0,0,0,NA,-1.99E-08,3.90E-09,1.31E-07,-1.26E-07,1.60E-09,0,1.0,98.6%,100.0%,99.8%,21,NA
Arkansas Nuclear 1,2007-10-01,0,0.8,0.0,0,0,0,NA,-9.30E-09,7.20E-08,9.10E-08,-1.15E-07,1.60E-09,0,1.0,98.6%,98.1%,99.8%,21,NA
Arkansas Nuclear 1,2007-11-01,0,0.8,0.0,0,0,0,NA,-9.30E-09,7.20E-08,9.10E-08,-1.15E-07,1.60E-09,0,1.3,98.6%,98.1%,99.8%,21,NA
Arkansas Nuclear 1,2007-12-01,0,0.8,0.0,0,0,0,NA,-9.30E-09,7.20E-08,9.10E-08,-1.15E-07,1.60E-09,0,1.7,98.6%,98.1%,99.8%,21,NA
Arkansas Nuclear 1,2008-01-01,0,0.8,0.0,0,0,0,NA,-1.27E-08,5.20E-08,1.55E-07,-1.15E-07,1.50E-09,0,1.4,96.7%,98.1%,99.5%,21,NA
Arkansas Nuclear 1,2008-02-01,0,0.8,0.0,0,0,0,NA,-1.27E-08,5.20E-08,1.55E-07,-1.15E-07,1.50E-09,0.1,2.1,96.7%,98.1%,99.5%,21,NA
Arkansas Nuclear 1,2008-03-01,0,0.8,0.0,0,0,0,NA,-1.27E-08,5.20E-08,1.55E-07,-1.15E-07,1.50E-09,0,1.1,96.7%,98.1%,99.5%,21,NA
Arkansas Nuclear 1,2008-04-01,0,0.8,0.0,0,0,0,NA,-1.14E-08,5.30E-08,1.33E-07,-1.15E-07,1.20E-09,0.1,1.3,95.5%,97.1%,99.7%,21,NA
Arkansas Nuclear 1,2008-05-01,0,0.8,0.0,0,0,0,NA,-1.14E-08,5.30E-08,1.33E-07,-1.15E-07,1.20E-09,0,1.4,95.5%,97.1%,99.7%,21,NA
Arkansas Nuclear 1,2008-06-01,0,0.8,0.0,0,0,0,NA,-1.14E-08,5.30E-08,1.33E-07,-1.15E-07,1.20E-09,0,1.2,95.5%,97.1%,99.7%,21,NA
Arkansas Nuclear 1,2008-07-01,0,0.8,0.0,0,0,0,NA,-1.13E-08,5.30E-08,1.35E-07,-1.25E-07,1.40E-09,0,1.3,96.0%,100.0%,99.7%,21,NA
Arkansas Nuclear 1,2008-08-01,0,0.8,0.0,0,0,0,NA,-1.13E-08,5.30E-08,1.35E-07,-1.25E-07,1.40E-09,0,1.4,96.0%,100.0%,99.7%,21,NA
Arkansas Nuclear 1,2008-09-01,0,0.8,0.0,0,0,0,NA,-1.13E-08,5.30E-08,1.35E-07,-1.25E-07,1.40E-09,0,1.4,96.0%,100.0%,99.7%,21,NA
Arkansas Nuclear 1,2008-10-01,1.8,0.9,0.0,0,0,0,NA,-1.12E-08,1.70E-08,1.49E-07,-1.12E-07,1.50E-09,0.5,1.5,95.6%,98.0%,99.7%,21,NA
Arkansas Nuclear 1,2008-12-01,1.8,0.9,0.0,0,0,0,NA,-1.12E-08,1.70E-08,1.49E-07,-1.12E-07,1.50E-09,0,2.1,95.6%,98.0%,99.7%,21,NA
Arkansas Nuclear 1,2009-01-01,3.7,0.9,0.0,0,0,0,NA,-1.15E-08,1.00E-08,1.49E-07,-1.19E-07,1.30E-09,0,2.1,95.9%,97.2%,100.0%,21,NA
Arkansas Nuclear 1,2009-02-01,3.7,0.9,0.0,0,0,0,NA,-1.15E-08,1.00E-08,1.49E-07,-1.19E-07,1.30E-09,0,1.4,95.9%,97.2%,100.0%,21,NA
Arkansas Nuclear 1,2009-03-01,3.7,0.9,0.0,0,0,0,NA,-1.15E-08,1.00E-08,1.49E-07,-1.19E-07,1.30E-09,0,1.0,95.9%,97.2%,100.0%,21,NA
Arkansas Nuclear 1,2009-04-01,3.7,0.9,0.0,0,0,0,NA,-7.77E-09,1.30E-08,1.52E-07,-9.23E-08,1.70E-09,0,2.2,95.1%,99.1%,99.8%,21,NA
Arkansas Nuclear 1,2009-05-01,3.7,0.9,0.0,0,0,0,NA,-7.77E-09,1.30E-08,1.52E-07,-9.23E-08,1.70E-09,0,2.1,95.1%,99.1%,99.8%,21,NA
Arkansas Nuclear 1,2009-06-01,3.7,0.9,0.0,0,0,0,NA,-7.77E-09,1.30E-08,1.52E-07,-9.23E-08,1.70E-09,0,2.6,95.1%,99.1%,99.8%,21,NA
Arkansas Nuclear 1,2009-07-01,3.7,0.9,0.0,0,1.0,0,NA,-8.36E-09,1.30E-08,1.55E-07,-9.74E-08,1.80E-09,0,2.4,95.5%,100.0%,99.5%,21,NA
Arkansas Nuclear 1,2009-08-01,3.7,0.9,0.0,0,1.0,0,NA,-8.36E-09,1.30E-08,1.55E-07,-9.74E-08,1.80E-09,0,1.0,95.5%,100.0%,99.5%,21,NA
Arkansas Nuclear 1,2009-09-01,3.7,0.9,0.0,0,1.0,0,NA,-8.36E-09,1.30E-08,1.55E-07,-9.74E-08,1.80E-09,0,0.8,95.5%,100.0%,99.5%,21,NA
Arkansas Nuclear 1,2009-10-01,1.6,0.8,0.0,1,1.0,0,NA,-8.10E-09,1.30E-08,1.53E-07,-1.03E-07,1.80E-09,0,2.7,94.9%,100.0%,99.5%,21,NA
Arkansas Nuclear 1,2009-11-01,1.6,0.8,0.0,1,1.0,0,NA,-8.10E-09,1.30E-08,1.53E-07,-1.03E-07,1.80E-09,0,0.9,94.9%,100.0%,99.5%,21,NA
Arkansas Nuclear 1,2009-12-01,1.6,0.8,0.0,1,1.0,0,NA,-8.10E-09,1.30E-08,1.53E-07,-1.03E-07,1.80E-09,0,2.2,94.9%,100.0%,99.5%,21,NA
Arkansas Nuclear 1,2007-01-01,0,0.8,NA,0,0,0,NA,2.15E-08,6.40E-09,-3.80E-08,-1.15E-07,-1.29E-08,0.1,1.3,97.7%,100.0%,100.0%,21,NA
Arkansas Nuclear 1,2007-02-01,0,0.8,NA,0,0,0,NA,2.15E-08,6.40E-09,-3.80E-08,-1.15E-07,-1.29E-08,0.1,1.2,97.7%,100.0%,100.0%,21,NA
Arkansas Nuclear 1,2007-03-01,0,0.8,NA,0,0,0,NA,2.15E-08,6.40E-09,-3.80E-08,-1.15E-07,-1.29E-08,0.1,1.5,97.7%,100.0%,100.0%,21,NA
Arkansas Nuclear 1,2007-04-01,0,1.7,NA,0,0,0,NA,2.34E-08,4.90E-09,1.35E-07,-1.26E-07,1.80E-09,0.2,1.4,98.7%,99.1%,99.8%,21,NA
Arkansas Nuclear 1,2007-05-01,0,1.7,NA,0,0,0,NA,2.34E-08,4.90E-09,1.35E-07,-1.26E-07,1.80E-09,0,2.5,98.7%,99.1%,99.8%,21,NA
Arkansas Nuclear 1,2007-06-01,0,1.7,NA,0,0,0,NA,2.34E-08,4.90E-09,1.35E-07,-1.26E-07,1.80E-09,0,2.2,98.7%,99.1%,99.8%,21,NA
Arkansas Nuclear 1,2008-11-01,1.8,0.9,0.0,0,0,0,NA,-1.12E-08,1.70E-08,1.49E-07,-1.12E-07,1.50E-09,0,NA,95.6%,98.0%,99.7%,21,NA
Arkansas Nuclear 2,2007-04-01,0,1.8,0.0,0,0,0,NA,-2.61E-07,-6.00E-08,6.80E-08,1.05E-09,-4.20E-08,0.2,1.7,98.7%,99.1%,99.8%,38,NA
Arkansas Nuclear 2,2007-05-01,0,1.8,0.0,0,0,0,NA,-2.61E-07,-6.00E-08,6.80E-08,1.05E-09,-4.20E-08,0.2,1.7,98.7%,99.1%,99.8%,38,NA
Arkansas Nuclear 2,2007-06-01,0,1.8,0.0,0,0,0,NA,-2.61E-07,-6.00E-08,6.80E-08,1.05E-09,-4.20E-08,0.2,1.7,98.7%,99.1%,99.8%,38,NA
Arkansas Nuclear 2,2007-07-01,0,1.8,0.0,0,0,0,NA,-2.52E-07,-6.10E-08,6.80E-08,1.05E-09,-4.10E-08,0.1,1.1,98.6%,100.0%,99.8%,38,NA
Arkansas Nuclear 2,2007-08-01,0,1.8,0.0,0,0,0,NA,-2.52E-07,-6.10E-08,6.80E-08,1.05E-09,-4.10E-08,0.1,1.1,98.6%,100.0%,99.8%,38,NA
Arkansas Nuclear 2,2007-09-01,0,1.8,0.0,0,0,0,NA,-2.52E-07,-6.10E-08,6.80E-08,1.05E-09,-4.10E-08,0.1,1.1,98.6%,100.0%,99.8%,38,NA
Arkansas Nuclear 2,2007-10-01,0,0.8,0.0,0,0,0,NA,-2.51E-07,-6.00E-08,5.71E-08,1.80E-09,6.90E-10,0.3,1.9,98.6%,98.1%,99.8%,38,NA
Arkansas Nuclear 2,2007-11-01,0,0.8,0.0,0,0,0,NA,-2.51E-07,-6.00E-08,5.71E-08,1.80E-09,6.90E-10,0.3,1.9,98.6%,98.1%,99.8%,38,NA
Arkansas Nuclear 2,2007-12-01,0,0.8,0.0,0,0,0,NA,-2.51E-07,-6.00E-08,5.71E-08,1.80E-09,6.90E-10,0.3,1.9,98.6%,98.1%,99.8%,38,NA
Arkansas Nuclear 2,2008-01-01,0,0,0.0,0,0,0,NA,-2.52E-07,-7.50E-08,5.70E-08,1.65E-09,9.30E-10,0.5,1.7,96.7%,98.1%,99.5%,38,NA
Arkansas Nuclear 2,2008-02-01,0,0,0.0,0,0,0,NA,-2.52E-07,-7.50E-08,5.70E-08,1.65E-09,9.30E-10,0.5,1.7,96.7%,98.1%,99.5%,38,NA
Arkansas Nuclear 2,2008-03-01,0,0,0.0,0,0,0,NA,-2.52E-07,-7.50E-08,5.70E-08,1.65E-09,9.30E-10,0.5,1.7,96.7%,98.1%,99.5%,38,NA
Arkansas Nuclear 2,2008-04-01,0,0,0.0,0,0,0,NA,-1.88E-07,-7.40E-08,-9.00E-10,1.40E-09,2.02E-09,0.2,0.8,95.5%,97.1%,99.7%,38,NA
Arkansas Nuclear 2,2008-05-01,0,0,0.0,0,0,0,NA,-1.88E-07,-7.40E-08,-9.00E-10,1.40E-09,2.02E-09,0.2,0.8,95.5%,97.1%,99.7%,38,NA
Arkansas Nuclear 2,2008-06-01,0,0,0.0,0,0,0,NA,-1.88E-07,-7.40E-08,-9.00E-10,1.40E-09,2.02E-09,0.2,0.8,95.5%,97.1%,99.7%,38,NA
Arkansas Nuclear 2,2008-07-01,0,0.9,0.0,0,0,0,NA,-1.33E-07,7.20E-08,1.80E-09,8.00E-11,4.52E-09,0.1,1.2,96.0%,100.0%,99.7%,38,NA
Arkansas Nuclear 2,2008-08-01,0,0.9,0.0,0,0,0,NA,-1.33E-07,7.20E-08,1.80E-09,8.00E-11,4.52E-09,0.1,1.2,96.0%,100.0%,99.7%,38,NA
Arkansas Nuclear 2,2008-09-01,0,0.9,0.0,0,0,0,NA,-1.33E-07,7.20E-08,1.80E-09,8.00E-11,4.52E-09,0.1,1.2,96.0%,100.0%,99.7%,38,NA
Arkansas Nuclear 2,2008-10-01,0,0.9,0.0,0,0,0,NA,-1.22E-07,7.40E-08,5.40E-09,8.00E-11,-7.39E-08,0.3,1.0,95.6%,98.0%,99.7%,38,NA
Arkansas Nuclear 2,2008-11-01,0,0.9,0.0,0,0,0,NA,-1.22E-07,7.40E-08,5.40E-09,8.00E-11,-7.39E-08,0.3,1.0,95.6%,98.0%,99.7%,38,NA
Arkansas Nuclear 2,2008-12-01,0,0.9,0.0,0,0,0,NA,-1.22E-07,7.40E-08,5.40E-09,8.00E-11,-7.39E-08,0.4,1.0,95.6%,98.0%,99.7%,38,NA
