STATE	CITY	APPLICANT/LICENSEE NAME	LICENSE NO.	DOCKET	REGION	RECEIVED	TYPE/ACTION
AL	REDSTONE ARSENAL	"ARMY, DEPARTMENT OF THE            "	STB-1579     	4009047	1	39265	3
DE	SEAFORD	INVISTA                            	07-03744-01  	3003865	1	39265	4
HI	HONOLULU	PACIFIC RADIOPHARMACY LTD.         	53-16991-01MD	3012031	4	39265	8
IN	FORT WAYNE	"QHG OF INDIANA, INC.               "	13-01535-01  	3001594	3	39265	4
IN	NEWBURGH	"ALCOA, INC.                        "	13-20664-01  	3020691	3	39265	5
MI	FARMINGTON HILLS	"CONSULTANTS IN CARDIOLOGY, P.C.    "	21-26635-01  	3033785	3	39265	4
MI	MADISON HEIGHTS	ST. JOHN MACOMB-OAKLAND HOSPITAL   	21-11494-01  	3002101	3	39265	4
MI	SOUTHFIELD	"HEART CARDIOLOGY CONSULTANTS, P.C. "	21-32278-01  	3035565	3	39265	4
MI	WARREN	ST. JOHN MACOMB-OAKLAND HOSPITAL   	21-01190-05  	3002005	3	39265	4
MO	ST. CHARLES	ST. JOSEPH HEALTH CENTER           	24-15159-01  	3008664	3	39265	4
ND	BISMARCK	BASIN ELECTRIC POWER COOPERATIVE   	33-18224-01  	3014682	4	39265	4
NJ	FT. MONMOUTH	"ARMY, DEPARTMENT OF THE            "	29-01022-14  	3029741	1	39265	4
NJ	PATERSON	ST. JOSEPH'S REGIONAL MEDICAL CTR  	29-10191-02  	3002526	1	39265	4
PA	CARLISLE	CARLISLE REGIONAL MEDICAL CENTER   	37-02385-02  	3003018	1	39265	4
PA	LANCASTER	FRANKLIN & MARSHALL COLLEGE        	37-11185-04  	3017052	1	39265	9
PA	SCRANTON	GREAT VALLEY CARDIOLOGY ASSOCIATES 	37-30403-01  	3034510	1	39265	3
PA	SUSQUEHANNA	BARNES-KASSON HOSPITAL             	37-19570-01  	3017897	1	39265	4
VA	FREDERICKSBURG	VIRGINIA CARDIOVASCULAR CONSULTANTS	45-30875-01  	3036490	1	39265	4
VA	WILLIAMSBURG	SENTARA WILLIAMSBURG REG. MED. CTR.	45-16209-02  	3014703	1	39265	4
WV	SHARPLES	MINGO LOGAN COAL COMPANY           	47-25025-01  	3030884	1	39265	5
WV	WHARNCLIFFE	"COBRA NATURAL RESOURCES, LLC       "	47-31260-01  	3037502	1	39265	2
DE	WILMINGTON	INCYTE CORPORATION                 	07-30728-01  	3035986	1	39266	4
MI	FLINT	"RIVERA, WILFREDO, M.D. P.C.        "	21-32663-01  	3037504	3	39266	2
MI	IRON MOUNTAIN	DICKINSON COUNTY MEMORIAL HOSPITAL 	21-18889-01  	3017318	3	39266	4
MI	LANSING	EDWARD W. SPARROW HOSPITAL         	21-01430-01  	3002009	3	39266	4
MI	TROY	TRANSCANADA                        	21-29258-01  	3037442	4	39266	2
MI	TROY	"MICHIGAN HEART GROUP, P.C.         "	21-26392-01  	3032699	3	39266	4
NJ	ELIZABETH	TRINITAS REGIONAL MEDICAL CENTER   	29-04333-01  	3002476	1	39266	4
