"Monthly Nuclear Utility Generation by State and Reactor,  2007"															
January  through December 2007															
	Net														
State of Location	Capacity		JAN	FEB	MAR	APR	MAY	JUNE	JULY	AUG	SEP	OCT	NOV	DEC	Year-To-Date
and Reactor Name	MW(e)		Megawatt hours												
ALABAMA	"4,985"		"2,855,031"	"2,192,248"	"2,118,526"	"1,775,390"	"2,443,103"	"3,288,904"	"3,653,261"	"3,254,969"	"3,283,158"	"2,833,345"	"3,019,334"	"3,607,858"	"34,325,127"
Browns Ferry 1	"1,065"		0	0	0	0	0	"480,112"	"769,553"	"660,191"	"698,376"	"621,712"	"481,990"	"823,343"	"4,535,277"
Browns Ferry 2	"1,104"		"723,254"	"396,393"	-703	"215,345"	"826,429"	"785,166"	"808,707"	"588,779"	"787,259"	"818,190"	"813,471"	"843,637"	"7,605,927"
Browns Ferry 3	"1,105"		"837,670"	"626,543"	"832,406"	"805,814"	"824,451"	"780,288"	"794,663"	"742,522"	"602,433"	"816,110"	"774,919"	"648,237"	"9,086,056"
Joseph M. Farley 1	851		"642,173"	"581,498"	"640,724"	"607,833"	"640,224"	"618,194"	"636,332"	"629,418"	"572,004"	"-4,992"	"319,559"	"642,814"	"6,525,781"
Joseph M. Farley 2	860		"651,934"	"587,814"	"646,099"	"146,398"	"151,999"	"625,144"	"644,006"	"634,059"	"623,086"	"582,325"	"629,395"	"649,827"	"6,572,086"
ARIZONA	"3,872"		"2,750,069"	"2,266,482"	"2,884,634"	"2,224,318"	"2,333,073"	"1,785,424"	"2,115,062"	"2,842,093"	"2,665,811"	"1,390,707"	"1,566,483"	"1,958,235"	"26,782,391"
Palo Verde 1	"1,311"		"990,150"	"892,571"	"986,662"	"953,146"	"566,763"	"-3,770"	"300,795"	"972,286"	"943,805"	"660,136"	"611,179"	"967,410"	"8,841,133"
Palo Verde 2	"1,314"		"993,644"	"564,835"	"981,175"	"960,397"	"975,296"	"939,052"	"930,033"	"976,448"	"949,988"	"733,817"	"958,434"	"994,476"	"10,957,595"
Palo Verde 3	"1,247"		"766,275"	"809,076"	"916,797"	"310,775"	"791,014"	"850,142"	"884,234"	"893,359"	"772,018"	"-3,246"	"-3,130"	"-3,651"	"6,983,663"
ARKANSAS	"1,838"		"1,237,445"	"1,224,840"	"1,381,539"	"1,142,613"	"979,493"	"1,330,868"	"1,372,259"	"1,363,174"	"1,328,057"	"1,383,098"	"1,348,837"	"1,393,879"	"15,486,102"
Arkansas Nuclear One 1	843		"642,145"	"579,996"	"631,611"	"425,625"	"233,279"	"610,804"	"629,284"	"623,738"	"610,379"	"634,652"	"620,327"	"640,967"	"6,882,807"
Arkansas Nuclear One 2	995		"595,300"	"644,844"	"749,928"	"716,988"	"746,214"	"720,064"	"742,975"	"739,436"	"717,678"	"748,446"	"728,510"	"752,912"	"8,603,295"
CALIFORNIA	"4,390"		"3,336,828"	"3,044,771"	"3,372,357"	"3,180,544"	"2,456,207"	"2,920,658"	"3,333,079"	"3,108,988"	"3,248,117"	"2,552,430"	"2,832,968"	"2,405,543"	"35,792,490"
San Onofre 2	"1,070"		"829,290"	"757,406"	"839,354"	"812,414"	"833,622"	"483,259"	"807,062"	"821,143"	"803,817"	"649,922"	"666,774"	"-5,634"	"8,298,429"
San Onofre 3	"1,080"		"814,290"	"762,276"	"842,384"	"813,741"	"770,388"	"809,469"	"837,432"	"833,146"	"812,519"	"218,649"	"551,381"	"839,896"	"8,905,571"
Diablo Canyon 1	"1,122"		"847,999"	"764,285"	"849,331"	"792,255"	"18,774"	"816,177"	"850,688"	"629,542"	"823,812"	"850,197"	"816,087"	"809,202"	"8,868,349"
Diablo Canyon 2	"1,118"		"845,249"	"760,804"	"841,288"	"762,134"	"833,423"	"811,753"	"837,897"	"825,157"	"807,969"	"833,662"	"798,726"	"762,079"	"9,720,141"
CONNECTICUT	"2,022"		"1,413,243"	"1,365,236"	"1,510,387"	"790,130"	"959,038"	"1,454,548"	"1,498,812"	"1,493,112"	"1,446,523"	"1,497,311"	"1,456,391"	"1,501,411"	"16,386,142"
Millstone 2	877		"655,199"	"592,070"	"654,393"	"633,828"	"651,981"	"631,264"	"651,264"	"650,432"	"631,128"	"652,059"	"633,419"	"649,723"	"7,686,760"
Millstone 3	"1,145"		"758,044"	"773,166"	"855,994"	"156,302"	"307,057"	"823,284"	"847,548"	"842,680"	"815,395"	"845,252"	"822,972"	"851,688"	"8,699,382"
FLORIDA	"3,902"		"2,978,219"	"2,558,723"	"2,959,211"	"2,240,621"	"2,363,062"	"2,554,173"	"2,809,746"	"2,608,041"	"2,308,012"	"2,009,928"	"1,699,682"	"2,199,871"	"29,289,289"
Turkey Point 3	693		"540,574"	"432,005"	"535,937"	"516,166"	"518,558"	"508,526"	"415,900"	"518,164"	"502,589"	"530,489"	"522,538"	"536,658"	"6,078,104"
Turkey Point 4	693		"535,300"	"485,786"	"524,469"	"495,699"	"530,455"	"223,014"	"518,932"	"518,646"	"23,915"	"230,796"	"522,538"	"539,250"	"5,148,800"
Crystal River 3	838		"640,692"	"497,379"	"639,665"	"619,406"	"637,476"	"611,760"	"626,878"	"627,563"	"613,504"	"621,924"	"38,434"	"498,209"	"6,672,890"
St Lucie 1	839		"638,041"	"578,287"	"636,635"	"6,275"	"57,160"	"612,686"	"631,227"	"597,068"	"593,016"	"629,070"	"618,407"	"637,887"	"6,235,759"
St Lucie 2	839		"623,612"	"565,266"	"622,505"	"603,075"	"619,413"	"598,187"	"616,809"	"346,600"	"574,988"	"-2,351"	"-2,235"	"-12,133"	"5,153,736"
GEORGIA	"3,995"		"2,920,153"	"2,157,622"	"1,835,173"	"2,098,394"	"2,889,237"	"2,899,027"	"2,994,288"	"2,904,576"	"2,869,029"	"3,016,450"	"2,921,656"	"3,039,393"	"32,544,998"
Vogtle 1	"1,109"		"862,727"	"778,697"	"852,575"	"824,352"	"848,056"	"812,448"	"837,166"	"832,095"	"784,362"	"846,260"	"827,742"	"853,806"	"9,960,286"
