"Monthly Nuclear Utility Generation by State and Reactor,  2009"																
January  through December 2009																
	Net															
State of Location	Capacity		JAN	FEB	MAR	APR	MAY	JUNE	JULY	AUG	SEP	OCT	NOV	DEC	Year-To-Date	
and Reactor Name	MW(e)		Megawatt hours													
ALABAMA	"4,985"		"3,793,234"	"2,945,711"	"3,166,506"	"2,827,587"	"2,735,253"	"2,875,447"	"3,665,767"	"3,552,446"	"3,337,084"	"3,468,077"	"3,581,868"	"3,767,224"	"39,716,204"	
Browns Ferry 1	"1,066"		"822,682"	"423,815"	"409,778"	"792,288"	"807,259"	"762,088"	"786,827"	"783,852"	"768,752"	"813,447"	"792,328"	"795,589"	"8,758,705"	
Browns Ferry 2	"1,104"		"839,178"	"587,430"	"839,252"	"644,652"	0	"134,728"	"800,243"	"812,904"	"770,502"	"715,274"	"820,468"	"843,878"	"7,808,509"	
Browns Ferry 3	"1,105"		"834,055"	"762,132"	"836,318"	"782,245"	"830,566"	"768,105"	"804,661"	"682,438"	"567,242"	"659,588"	"809,748"	"838,315"	"9,175,413"	
Joseph M. Farley 1	851		"643,275"	"581,505"	"634,209"	"18,073"	"454,734"	"603,266"	"633,389"	"632,870"	"613,575"	"635,777"	"618,168"	"642,283"	"6,711,124"	
Joseph M. Farley 2	860		"654,044"	"590,829"	"446,949"	"590,329"	"642,694"	"607,260"	"640,647"	"640,382"	"617,013"	"643,991"	"541,156"	"647,159"	"7,262,453"	
ARIZONA	"3,942"		"2,981,356"	"2,694,725"	"2,889,458"	"2,015,965"	"2,037,065"	"2,867,482"	"2,938,675"	"2,946,906"	"2,855,935"	"2,035,531"	"1,908,624"	"2,490,129"	"30,661,851"	
Palo Verde 1	"1,311"		"998,545"	"901,206"	"904,899"	"962,845"	"990,045"	"957,733"	"981,658"	"984,002"	"953,934"	"992,649"	"964,575"	"997,633"	"11,589,724"	
Palo Verde 2	"1,314"		"993,266"	"902,662"	"998,040"	"963,492"	"991,197"	"957,986"	"981,216"	"983,965"	"953,558"	"56,275"	"-12,029"	"739,893"	"9,509,521"	
Palo Verde 3	"1,317"		"989,545"	"890,857"	"986,519"	"89,628"	"55,823"	"951,763"	"975,801"	"978,939"	"948,443"	"986,607"	"956,078"	"752,603"	"9,562,606"	
ARKANSAS	"1,835"		"1,299,968"	"1,061,366"	"1,263,194"	"1,327,697"	"1,384,658"	"1,324,270"	"1,367,745"	"1,367,043"	"722,353"	"1,386,355"	"1,348,054"	"1,317,263"	"15,169,966"	
Arkansas Nuclear One 1	842		"640,046"	"423,433"	"627,953"	"602,624"	"637,687"	"607,732"	"626,572"	"627,476"	"611,643"	"637,117"	"619,993"	"639,821"	"7,302,097"	
Arkansas Nuclear One 2	993		"659,922"	"637,933"	"635,241"	"725,073"	"746,971"	"716,538"	"741,173"	"739,567"	"110,710"	"749,238"	"728,061"	"677,442"	"7,867,869"	
CALIFORNIA	"4,390"		"2,308,560"	"1,751,176"	"2,610,981"	"3,251,377"	"3,263,154"	"3,239,185"	"3,249,463"	"3,003,335"	"2,751,102"	"1,717,049"	"2,117,615"	"2,500,807"	"31,763,804"	
San Onofre 2	"1,070"		"-22,232"	"240,087"	"819,649"	"803,692"	"822,560"	"804,298"	"808,307"	"828,409"	"582,845"	"-6,022"	"-8,875"	"-8,336"	"5,664,382"	
San Onofre 3	"1,080"		"841,913"	"759,344"	"840,502"	"812,766"	"826,399"	"813,689"	"832,748"	"838,362"	"802,565"	"834,424"	"810,492"	"821,360"	"9,834,564"	
Diablo Canyon 1	"1,122"		"655,568"	0	"122,321"	"821,060"	"847,608"	"818,245"	"844,898"	"827,279"	"672,086"	"818,780"	"814,007"	"840,529"	"8,082,381"	
Diablo Canyon 2	"1,118"		"833,311"	"751,745"	"828,509"	"813,859"	"766,587"	"802,953"	"763,510"	"509,285"	"693,606"	"69,867"	"501,991"	"847,254"	"8,182,477"	
CONNECTICUT	"2,103"		"1,568,502"	"1,416,776"	"1,560,557"	"1,518,510"	"1,566,800"	"1,512,957"	"1,086,929"	"1,546,944"	"1,502,156"	"1,034,216"	"1,130,862"	"1,212,173"	"16,657,382"	
Millstone 2	869		"648,504"	"585,712"	"647,603"	"627,318"	"647,847"	"625,676"	"175,273"	"643,450"	"623,572"	"117,892"	"243,568"	"652,748"	"6,239,163"	
Millstone 3	"1,233"		"919,998"	"831,064"	"912,954"	"891,192"	"918,953"	"887,281"	"911,656"	"903,494"	"878,584"	"916,324"	"887,294"	"559,425"	"10,418,219"	
FLORIDA	"3,924"		"2,951,844"	"2,658,868"	"2,690,034"	"2,205,267"	"2,091,979"	"2,552,327"	"2,593,922"	"2,865,397"	"2,315,923"	"2,182,207"	"1,738,636"	"2,271,473"	"29,117,877"	
Turkey Point 3	693		"540,620"	"487,192"	"248,366"	"-5,106"	"334,517"	"506,549"	"519,616"	"520,395"	"506,735"	"526,981"	"520,413"	"537,911"	"5,244,189"	
Turkey Point 4	693		"542,963"	"469,846"	"535,594"	"512,360"	"474,143"	"504,150"	"516,339"	"515,201"	"502,404"	"409,649"	"-4,161"	"452,705"	"5,431,193"	
Crystal River 3	860		"584,227"	"539,566"	"649,282"	"623,484"	"644,394"	"617,713"	"639,129"	"574,115"	"515,827"	0	0	0	"5,387,737"	
St Lucie 1	839		"641,679"	"580,639"	"640,560"	"619,746"	"641,742"	"616,548"	"633,692"	"634,208"	"596,587"	"611,360"	"604,418"	"637,883"	"7,459,062"	
St Lucie 2	839		"642,355"	"581,625"	"616,232"	"454,783"	"-2,817"	"307,367"	"285,146"	"621,478"	"194,370"	"634,217"	"617,966"	"642,974"	"5,595,696"	
GEORGIA	"4,061"		"3,088,365"	"2,351,823"	"2,395,109"	"2,328,274"	"2,025,697"	"2,826,771"	"2,989,350"	"3,027,746"	"2,593,761"	"2,317,843"	"2,893,161"	"2,844,679"	"31,682,579"	
Vogtle 1	"1,150"		"884,092"	"797,840"	"879,839"	"848,717"	"870,553"	"835,966"	"864,597"	"863,616"	"511,485"	"191,644"	"854,997"	"731,652"	"9,134,998"	
